ymonth,Precip,TMean,year,month
1798 Aug,2.04516129032258,14.5451612903226,1798,8
1798 Sep,1.70333333333333,12.2466666666667,1798,9
1798 Oct,1.70322580645161,6.7258064516129,1798,10
1798 Nov,1.30666666666667,0.83,1798,11
1798 Dec,0.887096774193548,-5.31290322580645,1798,12
1800 Jan,0.451612903225806,0.790322580645161,1800,1
1800 Feb,0.171428571428571,-2.21071428571429,1800,2
1800 Mar,0.583870967741935,-2.14516129032258,1800,3
1800 Apr,0.34,11.5566666666667,1800,4
1800 May,4.56774193548387,11.9096774193548,1800,5
1800 Jun,3.24333333333333,10.1766666666667,1800,6
1800 Jul,1.43870967741935,14.4645161290323,1800,7
1800 Aug,2.2,15.5096774193548,1800,8
1800 Sep,1.66,11.52,1800,9
1800 Oct,1.86129032258065,5.38387096774194,1800,10
1800 Nov,2.34666666666667,2.29666666666667,1800,11
1800 Dec,0.254838709677419,0.203225806451613,1800,12
1801 Jan,0.783870967741935,-0.241935483870968,1801,1
1801 Feb,0.985714285714286,-1.46428571428571,1801,2
1801 Mar,1.1,2.53548387096774,1801,3
1801 Apr,1.38333333333333,5.89,1801,4
1801 May,2.99032258064516,11.5354838709677,1801,5
1801 Jun,3.43666666666667,10.6433333333333,1801,6
1801 Jul,3.0741935483871,13.758064516129,1801,7
1801 Aug,1.66774193548387,13.1354838709677,1801,8
1801 Sep,2.89,11.6666666666667,1801,9
1801 Oct,0.919354838709677,7.73548387096774,1801,10
1801 Nov,1.44,3.42,1801,11
1801 Dec,2.58064516129032,-1.68064516129032,1801,12
1802 Jan,0.612903225806452,-5.10967741935484,1802,1
1802 Feb,1.14642857142857,-1.10714285714286,1802,2
1802 Mar,0.551612903225806,1.3,1802,3
1802 Apr,1.05,5.94666666666667,1802,4
1802 May,2.03870967741935,9.50967741935484,1802,5
1802 Jun,0.993333333333333,14.7766666666667,1802,6
1802 Jul,3.11612903225806,13.8451612903226,1802,7
1802 Aug,1.35483870967742,17.9,1802,8
1802 Sep,0.663333333333333,11.4166666666667,1802,9
1802 Oct,0.729032258064516,10.3838709677419,1802,10
1802 Nov,1.87333333333333,1.77666666666667,1802,11
1802 Dec,0.651612903225806,-1.37096774193548,1802,12
1803 Jan,0.916129032258065,-4.29354838709677,1803,1
1803 Feb,0.664285714285714,-5.07142857142857,1803,2
1803 Mar,1.44193548387097,0.509677419354839,1803,3
1803 Apr,1.21,8.41,1803,4
1803 May,2.74193548387097,7.09354838709677,1803,5
1803 Jun,6.19,11.7666666666667,1803,6
1803 Jul,3.21290322580645,15.6064516129032,1803,7
1803 Aug,1.61290322580645,15.0677419354839,1803,8
1803 Sep,0.996666666666667,8.63333333333333,1803,9
1803 Oct,2.25806451612903,4.80645161290323,1803,10
1803 Nov,0.943333333333333,2.07333333333333,1803,11
1803 Dec,1.29032258064516,-0.229032258064516,1803,12
1804 Jan,0.609677419354839,2.82258064516129,1804,1
1804 Feb,1.00689655172414,-5.31379310344828,1804,2
1804 Mar,0.683870967741935,0.138709677419355,1804,3
1804 Apr,1.48,4.61666666666667,1804,4
1804 May,2.21935483870968,11.3451612903226,1804,5
1804 Jun,2.75,13.2733333333333,1804,6
1804 Jul,3.63870967741935,14.2354838709677,1804,7
1804 Aug,1.14838709677419,13.9677419354839,1804,8
1804 Sep,2.34333333333333,12.2933333333333,1804,9
1804 Oct,1.66129032258065,7.39032258064516,1804,10
1804 Nov,2.33666666666667,0.913333333333333,1804,11
1804 Dec,1.04838709677419,-3.08709677419355,1804,12
1805 Jan,0.516129032258065,-2.59354838709677,1805,1
1805 Feb,0.671428571428571,-1.53214285714286,1805,2
1805 Mar,0.409677419354839,-0.593548387096774,1805,3
1805 Apr,1.10333333333333,3.10666666666667,1805,4
1805 May,1.9741935483871,7.93225806451613,1805,5
1805 Jun,2.99666666666667,11.5933333333333,1805,6
1805 Jul,2.58709677419355,13.1161290322581,1805,7
1805 Aug,3.28064516129032,12.541935483871,1805,8
1805 Sep,2.88,11.4933333333333,1805,9
1805 Oct,1.98387096774194,3.61290322580645,1805,10
1805 Nov,0.0633333333333333,-0.956666666666667,1805,11
1805 Dec,0.780645161290323,-1.99677419354839,1805,12
1806 Jan,0.167741935483871,-0.132258064516129,1806,1
1806 Feb,1.025,0.553571428571429,1806,2
1806 Mar,0.554838709677419,0.9,1806,3
1806 Apr,0,1.94666666666667,1806,4
